Date,NFD,subject,insertions,deletions,total_comment_count,submitter,ndncxx
13-May-19,2,pit-fib-benchmark: remove gap4 and simplify,11,15,0,21,1
8-May-19,3,face: eliminate Transport::Packet wrapper type,355,401,18,5,6
3-May-19,23,face: add EndpointId in Face and LinkService,243,228,67,5,12
30-Apr-19,13,table: drop ChildSelector processing in CS,69,128,5,5,1
29-Apr-19,3,Prepare release 0.6.6,84,7,18,1,1
26-Apr-19,1,"build: Remove unnecessary std::ref, causing compilation issues with Boost 1.70.0",15,9,4,21,4
25-Apr-19,4,fw: always create PIT in-records with EndpointId=0 for now,201,66,9,5,2
22-Apr-19,3,core: move nfd-specific files to daemon/,215,265,202,21,107
22-Apr-19,5,tests: remove support for unit-tests.conf,22,58,1,5,16
22-Apr-19,1,ci: adapt to new repo layout for CentOS boost RPMs,4,5,0,1,2
19-Apr-19,8,table: eliminate Selectors from CS tests,243,455,2,5,2
16-Apr-19,2,"docs: sync sphinx build config with ndn-cxx, improve README.md",133,235,3,1,7
16-Apr-19,15,fw: properly handle consumer retransmission in AsfStrategy,255,109,42,1,1
9-Apr-19,5,"core: move NFD_VERSION{,_BUILD}_STRING to version.cpp",95,54,0,1,1
3-Apr-19,2,tests: merge DummyFace::LinkService with DummyReceiveLinkService,177,143,0,21,1
1-Apr-19,1,"face: simplify and optimize Internal{Forwarder,Client}Transport",146,108,0,21,1
1-Apr-19,2,face: introduce NullTransport and use it in several places,233,170,4,21,47
1-Apr-19,1,"face: downgrade ""Creating transport"" log message to DEBUG",9,9,0,5,2
30-Mar-19,1,tests+tools: minor code cleanup,406,446,30,21,1
28-Mar-19,1,nfd-status-http-server: fix display of satisfied/unsatisfied Interests,2,2,0,5,2
28-Mar-19,3,"tests: unit-tests-{core,tools} no longer require a global io_service",400,335,4,5,1
28-Mar-19,3,tests: introduce ClockFixture,196,136,3,5,3
28-Mar-19,3,tests: IdentityManagementFixture no longer derives from BaseFixture,61,67,10,5,6
28-Mar-19,4,fw: AccessStrategy: fix PIT in-record lookup with EndpointId,43,63,0,5,2
23-Mar-19,3,ci: update .travis.yml,16,22,0,21,12
23-Mar-19,1,face+tools: fix compilation with Boost 1.69.0,25,21,3,1,1
22-Mar-19,4,mgmt+rib: use getScheduler() in RibManager and Readvertise,35,52,3,1,1
20-Mar-19,2,"core+daemon: eliminate scheduler::{schedule,cancel} wrappers",338,514,3,1,8
17-Mar-19,1,face: introduce NullLinkService and use it in makeNullFace(),82,22,0,1,19
7-Mar-19,15,fw: add FaceEndpoint parameter in Forwarding and Strategy API,523,462,167,5,2
4-Mar-19,3,mgmt: merge ManagerBase with NfdManagerBase,277,463,2,5,4
4-Mar-19,4,rib: move RibManager to mgmt,69,68,1,5,1
25-Feb-19,5,rib: move entire subdir to daemon/rib,117,130,110,5,1
21-Feb-19,1,table: code modernization,246,418,7,1,15
21-Feb-19,1,face+table: move EndpointId typedef out of Transport and use it in table,57,56,8,1,12
21-Feb-19,1,core+main: switch to std::thread and thread_local,59,62,5,1,1
21-Feb-19,2,build: respect --without-systemd,75,67,4,1,54
18-Feb-19,1,pit: add EndpointId field in in-record and out-record,272,236,17,5,2
